title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
Holeonaicheu,https://myanimelist.net/anime/60017/Holeonaicheu,"Feb 16, 2024",8 eps,16 min ,"['Horror', 'Supernatural']",,(No synopsis yet.),,Original,ONA
Hoshi X kara no Rakko,https://myanimelist.net/anime/59640/Hoshi_X_kara_no_Rakko,"Mar 27, 2024",? eps,3 min ,"['Comedy', 'Sci-Fi']",,"Currently, there are only three sea otters in Japan. In fact, one of them is an alien who was stranded on Earth and disguised himself to hide. Various marine creatures come to consult with this highly intelligent sea otter-like alien every day.

(Source: YouTube, translated)",Kachidoki Studio,Original,ONA
Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,https://myanimelist.net/anime/55889/Watashi_no_Shiawase_na_Kekkon__Watashi_no_Shiawase_na_Katachi,"Mar 15, 2024",1 ep,23 min ,"['Fantasy', 'Romance']",,Thirteenth episode of Watashi no Shiawase na Kekkon.,Kinema Citrus,Novel,OVA
Hajimete no Futarikkiri Ryokou,https://myanimelist.net/anime/57593/Hajimete_no_Futarikkiri_Ryokou,"Mar 13, 2024",1 ep,4 min ,[],,"A short animation released with the limited edition of the LIPxLIP album ""Umarete Kita Koto ni Kansha Shinasai!""",,Music,OVA
Haikyuu!! Movie: Gomisuteba no Kessen,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,"Feb 16, 2024",1 ep,84 min ,['Sports'],,"Kenma Kozume has never considered volleyball fun or thrilling: it is merely something he is good at. But now Nekoma High School's volleyball team has qualified for the Spring Nationals and prepares to battle their long-standing rivals—Karasuno. Now, Kenma has to analyze the most confounding and resilient team and lead Nekoma to victory against them. Moreover, he will play against his friend Shouyou Hinata, Karasuno's short but incredibly proficient middle blocker.

Karasuno has never been able to beat Nekoma in practice matches. Even so, despite his usual indifference, Kenma feels a tinge of excitement at the prospect of facing Karasuno in a high-stakes official game with no do-overs. To advance to the semifinals and ultimately restore their team's former glory, Karasuno must find a way to overcome Kenma's brilliant strategy and defeat Nekoma in their own territory.

[Written by MAL Rewrite]",Production I.G,Manga,Movies
Given Movie 2: Hiiragi Mix,https://myanimelist.net/anime/54791/Given_Movie_2__Hiiragi_Mix,"Jan 27, 2024",1 ep,70 min ,"['Boys Love', 'Drama']",,"Hiiragi Kashima and Shizusumi ""Shizu"" Yagi's band ""syh"" is set to debut, but they run into trouble when their support guitarist leaves. Although Hiiragi often clashes with Ritsuka Uenoyama—the smug boyfriend of his childhood friend Mafuyu Satou—Hiiragi convinces him to perform as their temporary member.

Despite their friction, Hiiragi acknowledges Uenoyama's talent and respects his hard work—to the point of asking him to complete an old song that Mafuyu's ex-boyfriend, Yuki Yoshida, left behind. In between writing, recording, and filming a music video, Hiiragi comes to terms with his love for the aloof Shizu and wrestles with how to convey his feelings.

Meanwhile, ""given""—composed of Uenoyama, Mafuyu, and their bandmates Haruki Nakayama and Akihiko Kaji—receives an offer to debut as well. The members are ready and beyond excited, save for Mafuyu, who has never before thought about playing music professionally. As Uenoyama attempts to understand Yuki and replicate his unique sound, Mafuyu steps back to ponder over the looming changes in his life, fearing what the uncertain future may bring.

[Written by MAL Rewrite]",Lerche,Manga,Movies
Dead Dead Demons Dededede Destruction,https://myanimelist.net/anime/51358/Dead_Dead_Demons_Dededede_Destruction,"Mar 22, 2024",2 eps,120 min ,"['Drama', 'Sci-Fi']",,"When you look up at the sky, what do you see? A blue sky? Freedom? A hopeful future? The people of Tokyo see none of these. Instead, an ominous alien mothership looms overhead, engulfing the city skyscape.

Three years ago, they came. The arrival of the ""Invaders"" sparked the greatest war humanity had ever faced—one that threatened to end the world. The Japanese government scrambled to fight the Invaders. Weapons were mass-produced, sparking controversy and pacifist movements.

That day, everything changed. And yet, nothing has changed. Kadode Koyama and Ouran Nakagawa live their final days like they always have: going to school, playing with friends, and doing what any carefree high school girl would do.

As they grow up, they come to learn what it truly means to be an adult, in a world where adults seem to be demons who only deceive and destroy. They come to learn the real threat to humanity is not the Invaders, but humanity itself.

[Written by MAL Rewrite]",Production +h.,Manga,Movies
Kizumonogatari: Koyomi Vamp,https://myanimelist.net/anime/56609/Kizumonogatari__Koyomi_Vamp,"Jan 12, 2024",1 ep,144 min ,"['Action', 'Mystery', 'Supernatural']",,Compilation film of the three Kizumonogatari movies.,Shaft,Light novel,Movies
Oomuro-ke: Dear Sisters,https://myanimelist.net/anime/56175/Oomuro-ke__Dear_Sisters,"Feb 2, 2024",1 ep,43 min ,"['Comedy', 'Girls Love']",,"A spin-off of Yuru Yuri featuring Sakurako and her sisters.
",Passione,Manga,Movies
Paripi Koumei: Road to Summer Sonia,https://myanimelist.net/anime/57369/Paripi_Koumei__Road_to_Summer_Sonia,"Mar 1, 2024",1 ep,119 min ,['Comedy'],,Compilation movie of Paripi Koumei.,P.A. Works,Web manga,Movies
Kidou Senshi Gundam SEED Freedom,https://myanimelist.net/anime/49073/Kidou_Senshi_Gundam_SEED_Freedom,"Jan 26, 2024",1 ep,124 min ,"['Action', 'Drama', 'Sci-Fi']",,"In C.E.75, the fighting still continues.

There are independence movements, and aggression by Blue Cosmos... In order to calm the situation, a global peace monitoring agency called COMPASS is established, with Lacus as its first president. As members of COMPASS, Kira and his comrades intervene into various regional battles. Then a newly established nation called Foundation proposes a joint operation against a Blue Cosmos stronghold.

(Source: sugoi.co)",Sunrise,Original,Movies
Meitantei Conan vs. Kaitou Kid,https://myanimelist.net/anime/57441/Meitantei_Conan_vs_Kaitou_Kid,"Jan 5, 2024",1 ep,80 min ,"['Adventure', 'Comedy', 'Mystery']",,"A special edited version of the TV series that presents the birth of the magician under the moon, Kaito Kid, and the first confrontation with the biggest and eternal rival Conan / Shinichi with new scenes!!

(Source: Official website)",TMS Entertainment,Manga,Movies
Bloody Escape: Jigoku no Tousou Geki,https://myanimelist.net/anime/54793/Bloody_Escape__Jigoku_no_Tousou_Geki,"Jan 5, 2024",1 ep,97 min ,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",,"After human experimentation turns Kisaragi into a cyborg, he finds himself pressured by multiple organizations: An undying convent of vampires bent on the conquest of Tokyo, and an immortal order of knights, and a group of Yakuza, sword to avenge the killing of their leader. 

""I might not have any reason to live, but that's no reason to let them kill me.""

Kisaragi will have to use his cyborg-body and his unique ""blood,"" as well as anything else he can to make his big escape!!!

(Source: Official Site, translated)",Polygon Pictures,Original,Movies
Jiangtun: Feng Shi Wu,https://myanimelist.net/anime/57418/Jiangtun__Feng_Shi_Wu,"Jan 20, 2024",1 ep,84 min ,"['Adventure', 'Fantasy', 'Romance']",,(No synopsis yet.),,Original,Movies
Dayu,https://myanimelist.net/anime/57417/Dayu,"Jan 12, 2024",1 ep,102 min ,"['Adventure', 'Fantasy']",,(No synopsis yet.),,Original,Movies
Ba Jie: Tian Peng Xiajie,https://myanimelist.net/anime/57931/Ba_Jie__Tian_Peng_Xiajie,"Feb 10, 2024",1 ep,0 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Other,Movies
SINoALICE: Ichiban Saigo no Monogatari,https://myanimelist.net/anime/59224/SINoALICE__Ichiban_Saigo_no_Monogatari,"Feb 23, 2024",1 ep,64 min ,['Fantasy'],,"Alice's life has been miserable ever since she started playing SINoALICE. In despair at the world, she takes her own life, but wakes up and finds herself within the game, interacting with the game's navigator characters Parrah and Noya, who throw every despair of her previous life at her. As Parrah and Noya take Alice away, the game's characters plan to face the two.

(Source: ANN)",ILCA,Game,Movies
Tian Jiang Daren,https://myanimelist.net/anime/57449/Tian_Jiang_Daren,"Jan 6, 2024",1 ep,0 min ,"['Adventure', 'Comedy', 'Fantasy']",,(No synopsis yet.),,,Movies
Wu Chuang Yinxing Dao,https://myanimelist.net/anime/57928/Wu_Chuang_Yinxing_Dao,"Jan 20, 2024",1 ep,90 min ,"['Action', 'Adventure', 'Drama', 'Fantasy']",,(No synopsis yet.),,,Movies
Ba Bi Na Zha Cheng de Chuanshuo,https://myanimelist.net/anime/58323/Ba_Bi_Na_Zha_Cheng_de_Chuanshuo,"Feb 23, 2024",1 ep,83 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Original,Movies
Huang Pi: Tian Jiang Caishen Mao,https://myanimelist.net/anime/58322/Huang_Pi__Tian_Jiang_Caishen_Mao,"Feb 10, 2024",1 ep,82 min ,"['Adventure', 'Comedy', 'Fantasy']",,(No synopsis yet.),,Original,Movies
DMZ Dongmul Teuggongdae,https://myanimelist.net/anime/58576/DMZ_Dongmul_Teuggongdae,"Feb 14, 2024",1 ep,75 min ,"['Adventure', 'Fantasy']",,(No synopsis yet.),,Original,Movies
